Description,HS_Code
Aluminum Signs,8310.00
Coroplast Signs,3926.90
Plastic Signs,9405.92
Sintra Signs,3926.90
Plywood Faced with Resin Impregnated Paper Coniferous Wood,4412.39
Polyurethane Plastic Signs (Load Boards),3926.90
Polyethylene Discs,3926.90
Vinyl Decals,3919.90
Printed Vinyl Banner,3926.90
Printed Vinyl Banner - Advertising,4911.10
Printed Mesh Fabric Banner,4911.99
"Aluminum Gates (Maze, Security or Corral)",7616.99
"Aluminum Ski, Snowboard & Bike Racks",9403.20
Aluminum Recycle Containers <300L,7612.90
Aluminum Recycle Containers >300L,7611.00
Aluminum Benches,9401.79
Aluminum Tool Benches,9403.20
Aluminum Gondola Racks,8302.30
Aluminum Shovels,8201.10
Aluminum Rakes/Chippers,8201.30
Steel Rakes & Tools,8201.30
"Tool Handle, of Wood",4417.00
Aluminum Overhead Sign Mounting System,7616.99
Aluminum Sign Posts/Frames,7616.99
Steel/Iron Sign Posts/Frames,7308.30
Aluminum Frame Tunnel,7616.99
Aluminum Handrails,7610.90
Aluminum Tissue Box Holders/Winders,7612.90
Aluminum Brackets,8302.10
Aluminum End Table,9403.20
Steel Gantries,7308.90
Polyurethane Traffic Cones,3926.90
Kids Foam Blocks (Goods are not Subject to TSCA Title VI),9503.00
Pole Pads/Tower Padding/Seat Padding,3926.90
Polyethylene Snow Tubes,3926.90
Polyurethane Shovel Pieces,3926.90
Conveyor Covers,3926.90
Vinyl Covers,3926.90
Vinyl Cement Glue,3506.91
"Other Inflatable Articles, not Elsewhere Specified or Included",3926.90
Parts to a Cold Air Inflatable Advertising Balloon,3926.90
Snow Mat/Tiles Rolls,3920.20
Rubber Floor Coverings and Mats,4016.91
Barrier Band with/without Tinsel,3923.29
Plastic/Polyethylene Fence,3925.90
Plastic Poles,3917.29
Fireman's Nets,5608.19
Whips,6602.00
LED Lights,8541.40
Conveyor Belt Splice Material,7326.19
Lava Grip,2517.49
Brochures,4911.10
Woven Polyester Bibs (Made up of Fabric Heading 5903.20),6211.43
Vinyl Bibs,3926.20
"Alpine Ski Bibs Polyester(95%)-Lycra(5%), Made in Canada of Canadian Fabric",6217.90
"Elastic Armband Polyester(95%)-Lycra(5%), Made in Canada of Canadian Fabric",6217.90
"Adjustable Armband with Velcro Polyester(95%)-Lycra(5%), Made in Canada of Canadian Fabric",6217.90
Barricade Tape,4911.99
Bungee Cord,4007.00
